"","GENENAME","estimate","se","p","fdr"
"PLEKHG5","PLEKHG5",-1.45981343552735,0.30864471709605,1.4831946159586e-16,4.16673719937579e-16
"PLEKHH1","PLEKHH1",0.305732099982733,0.182542645451206,6.92721769965958e-05,9.39547314027438e-05
"PLEKHH3","PLEKHH3",0.45845322750999,0.272281726610281,1.0444522944242e-06,1.62150980312134e-06
"PLEKHJ1","PLEKHJ1",0.201920127754714,0.0600239833823266,9.53732434080881e-05,0.000127941814074887
"PLEKHM1","PLEKHM1",0.44160236495296,0.0505967371761945,1.23700515589775e-15,3.31026806894132e-15
"PLEKHM2","PLEKHM2",0.571905265369535,0.212823077652997,6.60855998618468e-32,3.62663391035298e-31
"PLEKHM3","PLEKHM3",0.144276467688317,0.155879024171928,4.8022983719816e-09,8.75505552484254e-09
"PLEKHN1","PLEKHN1",1.46315348288231,0.132057061501269,2.14096606895456e-25,9.05933847094424e-25
"PLEKHO1","PLEKHO1",0.704059727317871,0.211316562323304,3.87546282691206e-31,2.05660428126323e-30
"PLEKHO2","PLEKHO2",1.57028330290007,0.0944393296266185,2.13963984394178e-98,1.11702337993153e-96
"PLIN2","PLIN2",1.07640610497372,0.206490997506506,1.02347765729814e-16,2.89851405063521e-16
"PLIN3","PLIN3",0.119726036716856,0.0767694870369391,0.0031599963217603,0.00376473188048372
"PLIN4","PLIN4",0.319803741131154,0.19418764919019,0.00374203809247818,0.00442494331559385
"PLIN5","PLIN5",0.511948715357597,0.209674798205795,3.56378740925166e-05,4.9423000736715e-05
"PLK1","PLK1",0.426113911986593,0.30190288930666,7.26875602829636e-07,1.14157544537289e-06
"PLK2","PLK2",0.769308602753002,0.245077917984675,1.3566176227491e-12,3.0763611285164e-12
"PLK3","PLK3",0.967264508316587,0.212899489222838,1.30579310609476e-35,8.35188357971302e-35
"PLK4","PLK4",-0.282421447701161,0.178076246350638,0.000453837159567512,0.000579429766205309
"PLOD1","PLOD1",0.859577340410872,0.103591490587964,1.12772409558874e-40,8.93100459733382e-40
"PLOD3","PLOD3",0.675456134332513,0.100532293753198,6.94057189397776e-33,3.97754584756944e-32
"PLP2","PLP2",0.771676769621449,0.0862931570491223,1.73730036937105e-23,6.74244743939471e-23
"PLRG1","PLRG1",-0.101677266236724,0.0397000204690931,0.00962112222692294,0.0110306509215049
